test_id,node,test_category,test_description,test,result,failure_reason
1,leaf1,Hardware,Verifies if the power supplies status are within the accepted states list.,VerifyEnvironmentPower,NOT RUN,
2,leaf1,Hardware,Verifies if the fans status are within the accepted states list.,VerifyEnvironmentCooling,NOT RUN,
3,leaf1,Hardware,Verifies if the device temperature is within the acceptable range.,VerifyTemperature,NOT RUN,
4,leaf1,Hardware,Verifies the transceiver's manufacturer against a list of approved manufacturers.,VerifyTransceiversManufacturers,NOT RUN,
5,leaf1,NTP,Synchronised with NTP server,NTP,NOT RUN,
6,leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_leaf2_Ethernet1,NOT RUN,
7,leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_SPINE1_Ethernet2,NOT RUN,
8,leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE2_Ethernet2,NOT RUN,
9,leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - host1_Eth1,NOT RUN,
10,leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - host1_Eth2,NOT RUN,
11,leaf1,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_leaf2_Po1,NOT RUN,
12,leaf1,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel4 - host1_PortChanne1,NOT RUN,
13,leaf1,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,NOT RUN,
14,leaf1,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,NOT RUN,
15,leaf1,Interface State,Vlan Interface & Line Protocol == "up",Vlan110 - Tenant_A_OP_Zone_1,NOT RUN,
16,leaf1,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf Tenant_A_OP_Zone,NOT RUN,
17,leaf1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,NOT RUN,
18,leaf1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,NOT RUN,
19,leaf1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback100 - Tenant_A_OP_Zone_VTEP_DIAGNOSTICS,NOT RUN,
20,leaf1,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,NOT RUN,
21,leaf1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: leaf2_Ethernet1,NOT RUN,
22,leaf1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: spine1_Ethernet2,NOT RUN,
23,leaf1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: spine2_Ethernet2,NOT RUN,
24,leaf1,IP Reachability,ip reachability test p2p links,Source: leaf1_Ethernet2 - Destination: spine1_Ethernet2,NOT RUN,
25,leaf1,IP Reachability,ip reachability test p2p links,Source: leaf1_Ethernet3 - Destination: spine2_Ethernet2,NOT RUN,
26,leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf1 - 192.0.255.3/32 Destination: 192.0.255.1,NOT RUN,
27,leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf1 - 192.0.255.3/32 Destination: 192.0.255.2,NOT RUN,
28,leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf1 - 192.0.255.3/32 Destination: 192.0.255.3,NOT RUN,
29,leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf1 - 192.0.255.3/32 Destination: 192.0.255.4,NOT RUN,
30,leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf1 - 192.0.255.3/32 Destination: 192.0.255.5,NOT RUN,
31,leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf1 - 192.0.255.3/32 Destination: 192.0.255.6,NOT RUN,
32,leaf1,MLAG,MLAG State active & Status connected,MLAG,NOT RUN,
33,leaf1,BGP,ArBGP is configured and operating,ArBGP,NOT RUN,
34,leaf1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.251.1,NOT RUN,
35,leaf1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.31.255.0,NOT RUN,
36,leaf1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.31.255.2,NOT RUN,
37,leaf1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.0.255.1,NOT RUN,
38,leaf1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.0.255.2,NOT RUN,
39,leaf1,Routing Table,Remote Lo0 address,192.0.255.1,NOT RUN,
40,leaf1,Routing Table,Remote Lo0 address,192.0.255.2,NOT RUN,
41,leaf1,Routing Table,Remote Lo0 address,192.0.255.3,NOT RUN,
42,leaf1,Routing Table,Remote Lo0 address,192.0.255.4,NOT RUN,
43,leaf1,Routing Table,Remote Lo0 address,192.0.255.5,NOT RUN,
44,leaf1,Routing Table,Remote Lo0 address,192.0.255.6,NOT RUN,
45,leaf1,Routing Table,Remote VTEP address,192.0.254.3,NOT RUN,
46,leaf1,Routing Table,Remote VTEP address,192.0.254.5,NOT RUN,
47,leaf2,Hardware,Verifies if the power supplies status are within the accepted states list.,VerifyEnvironmentPower,NOT RUN,
48,leaf2,Hardware,Verifies if the fans status are within the accepted states list.,VerifyEnvironmentCooling,NOT RUN,
49,leaf2,Hardware,Verifies if the device temperature is within the acceptable range.,VerifyTemperature,NOT RUN,
50,leaf2,Hardware,Verifies the transceiver's manufacturer against a list of approved manufacturers.,VerifyTransceiversManufacturers,NOT RUN,
51,leaf2,NTP,Synchronised with NTP server,NTP,NOT RUN,
52,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_leaf1_Ethernet1,NOT RUN,
53,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_SPINE1_Ethernet3,NOT RUN,
54,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE2_Ethernet3,NOT RUN,
55,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - host1_Eth3,NOT RUN,
56,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - host1_Eth4,NOT RUN,
57,leaf2,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_leaf1_Po1,NOT RUN,
58,leaf2,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel4 - host1_PortChanne1,NOT RUN,
59,leaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,NOT RUN,
60,leaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,NOT RUN,
61,leaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan110 - Tenant_A_OP_Zone_1,NOT RUN,
62,leaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf Tenant_A_OP_Zone,NOT RUN,
63,leaf2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,NOT RUN,
64,leaf2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,NOT RUN,
65,leaf2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback100 - Tenant_A_OP_Zone_VTEP_DIAGNOSTICS,NOT RUN,
66,leaf2,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,NOT RUN,
67,leaf2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: leaf1_Ethernet1,NOT RUN,
68,leaf2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: spine1_Ethernet3,NOT RUN,
69,leaf2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: spine2_Ethernet3,NOT RUN,
70,leaf2,IP Reachability,ip reachability test p2p links,Source: leaf2_Ethernet2 - Destination: spine1_Ethernet3,NOT RUN,
71,leaf2,IP Reachability,ip reachability test p2p links,Source: leaf2_Ethernet3 - Destination: spine2_Ethernet3,NOT RUN,
72,leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: leaf2 - 192.0.255.4/32 Destination: 192.0.255.1,NOT RUN,
73,leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: leaf2 - 192.0.255.4/32 Destination: 192.0.255.2,NOT RUN,
74,leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: leaf2 - 192.0.255.4/32 Destination: 192.0.255.3,NOT RUN,
75,leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: leaf2 - 192.0.255.4/32 Destination: 192.0.255.4,NOT RUN,
76,leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: leaf2 - 192.0.255.4/32 Destination: 192.0.255.5,NOT RUN,
77,leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: leaf2 - 192.0.255.4/32 Destination: 192.0.255.6,NOT RUN,
78,leaf2,MLAG,MLAG State active & Status connected,MLAG,NOT RUN,
79,leaf2,BGP,ArBGP is configured and operating,ArBGP,NOT RUN,
80,leaf2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.251.0,NOT RUN,
81,leaf2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.31.255.4,NOT RUN,
82,leaf2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.31.255.6,NOT RUN,
83,leaf2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.0.255.1,NOT RUN,
84,leaf2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.0.255.2,NOT RUN,
85,leaf2,Routing Table,Remote Lo0 address,192.0.255.1,NOT RUN,
86,leaf2,Routing Table,Remote Lo0 address,192.0.255.2,NOT RUN,
87,leaf2,Routing Table,Remote Lo0 address,192.0.255.3,NOT RUN,
88,leaf2,Routing Table,Remote Lo0 address,192.0.255.4,NOT RUN,
89,leaf2,Routing Table,Remote Lo0 address,192.0.255.5,NOT RUN,
90,leaf2,Routing Table,Remote Lo0 address,192.0.255.6,NOT RUN,
91,leaf2,Routing Table,Remote VTEP address,192.0.254.3,NOT RUN,
92,leaf2,Routing Table,Remote VTEP address,192.0.254.5,NOT RUN,
93,leaf3,Hardware,Verifies if the power supplies status are within the accepted states list.,VerifyEnvironmentPower,NOT RUN,
94,leaf3,Hardware,Verifies if the fans status are within the accepted states list.,VerifyEnvironmentCooling,NOT RUN,
95,leaf3,Hardware,Verifies if the device temperature is within the acceptable range.,VerifyTemperature,NOT RUN,
96,leaf3,Hardware,Verifies the transceiver's manufacturer against a list of approved manufacturers.,VerifyTransceiversManufacturers,NOT RUN,
97,leaf3,NTP,Synchronised with NTP server,NTP,NOT RUN,
98,leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_leaf4_Ethernet1,NOT RUN,
99,leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_SPINE1_Ethernet4,NOT RUN,
100,leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE2_Ethernet4,NOT RUN,
101,leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - host2_Eth1,NOT RUN,
102,leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - host2_Eth2,NOT RUN,
103,leaf3,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_leaf4_Po1,NOT RUN,
104,leaf3,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel4 - host2_PortChanne1,NOT RUN,
105,leaf3,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,NOT RUN,
106,leaf3,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,NOT RUN,
107,leaf3,Interface State,Vlan Interface & Line Protocol == "up",Vlan110 - Tenant_A_OP_Zone_1,NOT RUN,
108,leaf3,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf Tenant_A_OP_Zone,NOT RUN,
109,leaf3,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,NOT RUN,
110,leaf3,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,NOT RUN,
111,leaf3,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback100 - Tenant_A_OP_Zone_VTEP_DIAGNOSTICS,NOT RUN,
112,leaf3,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,NOT RUN,
113,leaf3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: leaf4_Ethernet1,NOT RUN,
114,leaf3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: spine1_Ethernet4,NOT RUN,
115,leaf3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: spine2_Ethernet4,NOT RUN,
116,leaf3,IP Reachability,ip reachability test p2p links,Source: leaf3_Ethernet2 - Destination: spine1_Ethernet4,NOT RUN,
117,leaf3,IP Reachability,ip reachability test p2p links,Source: leaf3_Ethernet3 - Destination: spine2_Ethernet4,NOT RUN,
118,leaf3,Loopback0 Reachability,Loopback0 Reachability,Source: leaf3 - 192.0.255.5/32 Destination: 192.0.255.1,NOT RUN,
119,leaf3,Loopback0 Reachability,Loopback0 Reachability,Source: leaf3 - 192.0.255.5/32 Destination: 192.0.255.2,NOT RUN,
120,leaf3,Loopback0 Reachability,Loopback0 Reachability,Source: leaf3 - 192.0.255.5/32 Destination: 192.0.255.3,NOT RUN,
